table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Selected Age Groups by Sex for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,"April 1, 2010",,,,,,Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Census,,,Estimates Base,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
.5 to 13 years,"36,859,869","18,833,957","18,025,912","36,860,062","18,834,054","18,026,008","36,866,367","18,835,659","18,030,708","36,914,435","18,857,785","18,056,650","37,002,098","18,897,890","18,104,208","37,070,630","18,926,421","18,144,209","36,949,328","18,857,741","18,091,587","36,898,953","18,831,056","18,067,897","36,960,578","18,868,614","18,091,964","36,952,743","18,869,751","18,082,992","36,892,306","18,842,511","18,049,795","36,829,704","18,815,383","18,014,321"
.14 to 17 years,"17,120,236","8,791,752","8,328,484","17,120,791","8,792,147","8,328,644","17,065,484","8,760,778","8,304,706","16,869,986","8,643,976","8,226,010","16,718,501","8,556,549","8,161,952","16,648,857","8,513,309","8,135,548","16,742,046","8,558,086","8,183,960","16,801,020","8,586,264","8,214,756","16,767,076","8,563,530","8,203,546","16,741,631","8,545,024","8,196,607","16,663,877","8,499,739","8,164,138","16,632,763","8,484,078","8,148,685"
.18 to 64 years,"194,296,087","96,473,230","97,822,857","194,304,607","96,479,074","97,825,533","194,722,776","96,694,343","98,028,433","196,299,335","97,492,035","98,807,300","197,003,963","97,900,654","99,103,309","197,795,558","98,337,812","99,457,746","198,580,269","98,770,975","99,809,294","199,366,342","99,215,485","100,150,857","200,089,827","99,625,428","100,464,399","200,646,789","99,940,975","100,705,814","200,999,017","100,156,135","100,842,882","201,142,110","100,274,366","100,867,744"
.18 to 24 years,"30,672,088","15,661,633","15,010,455","30,674,388","15,663,211","15,011,177","30,762,380","15,712,043","15,050,337","31,078,554","15,889,434","15,189,120","31,371,460","16,060,904","15,310,556","31,488,416","16,135,560","15,352,856","31,416,072","16,106,225","15,309,847","31,130,843","15,967,334","15,163,509","30,801,776","15,799,971","15,001,805","30,519,684","15,641,325","14,878,359","30,373,478","15,546,666","14,826,812","30,219,206","15,451,921","14,767,285"
.25 to 44 years,"82,134,554","41,068,090","41,066,464","82,138,457","41,070,782","41,067,675","82,191,286","41,103,045","41,088,241","82,427,353","41,230,259","41,197,094","82,801,927","41,453,068","41,348,859","83,279,411","41,719,232","41,560,179","83,849,830","42,037,534","41,812,296","84,475,800","42,391,531","42,084,269","85,191,223","42,797,368","42,393,855","86,019,996","43,261,928","42,758,068","86,823,584","43,717,285","43,106,299","87,599,465","44,151,260","43,448,205"
.45 to 64 years,"81,489,445","39,743,507","41,745,938","81,491,762","39,745,081","41,746,681","81,769,110","39,879,255","41,889,855","82,793,428","40,372,342","42,421,086","82,830,576","40,386,682","42,443,894","83,027,731","40,483,020","42,544,711","83,314,367","40,627,216","42,687,151","83,759,699","40,856,620","42,903,079","84,096,828","41,028,089","43,068,739","84,107,109","41,037,722","43,069,387","83,801,955","40,892,184","42,909,771","83,323,439","40,671,185","42,652,254"
.65 years and over,"40,267,984","17,362,960","22,905,024","40,271,219","17,364,050","22,907,169","40,478,224","17,471,361","23,006,863","41,350,015","17,926,543","23,423,472","43,130,363","18,814,964","24,315,399","44,629,455","19,562,806","25,066,649","46,157,016","20,308,074","25,848,942","47,650,770","21,036,827","26,613,943","49,202,071","21,777,986","27,424,085","50,753,404","22,519,240","28,234,164","52,369,339","23,281,095","29,088,244","54,058,263","24,074,290","29,983,973"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.16 years and over,"243,275,505","118,315,377","124,960,128","243,287,612","118,322,571","124,965,041","243,890,166","118,633,287","125,256,879","246,230,195","119,823,156","126,407,039","248,574,883","121,041,728","127,533,155","250,778,475","122,173,240","128,605,235","253,085,150","123,345,649","129,739,501","255,388,182","124,532,236","130,855,946","257,764,910","125,735,742","132,029,168","259,906,758","126,806,187","133,100,571","261,729,914","127,703,104","134,026,810","263,493,218","128,577,374","134,915,844"
.18 years and over,"234,564,071","113,836,190","120,727,881","234,575,826","113,843,124","120,732,702","235,201,000","114,165,704","121,035,296","237,649,350","115,418,578","122,230,772","240,134,326","116,715,618","123,418,708","242,425,013","117,900,618","124,524,395","244,737,285","119,079,049","125,658,236","247,017,112","120,252,312","126,764,800","249,291,898","121,403,414","127,888,484","251,400,193","122,460,215","128,939,978","253,368,356","123,437,230","129,931,126","255,200,373","124,348,656","130,851,717"
.15 to 44 years,"125,760,896","63,385,932","62,374,964","125,767,577","63,390,544","62,377,033","125,873,683","63,453,021","62,420,662","126,245,032","63,653,319","62,591,713","126,757,101","63,956,504","62,800,597","127,269,101","64,247,968","63,021,133","127,776,595","64,538,364","63,238,231","128,225,470","64,810,641","63,414,829","128,665,100","65,072,675","63,592,425","129,156,914","65,345,362","63,811,552","129,696,331","65,639,413","64,056,918","130,286,975","65,961,619","64,325,356"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median age (years),37.2,35.8,38.5,37.2,35.8,38.5,37.2,35.9,38.5,37.3,36.0,38.6,37.4,36.1,38.8,37.6,36.2,38.9,37.7,36.3,39.0,37.8,36.4,39.1,37.9,36.6,39.2,38.0,36.8,39.4,38.2,37.0,39.5,38.4,37.2,39.7
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. Median age is calculated based on single year of age. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Selected Age Groups by Sex for the United States: April 1, 2010 to July 1, 2019 (NC-EST2019-AGESEX)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date: June 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
